tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
62,,1.0103,1.0352,1.0158,-0.6039,1.2878,0.0000,0.0000,0.0009
63,,1.0132,1.0320,1.0163,-0.6841,0.8453,0.0000,0.0000,0.0009
64,,1.0126,1.0270,1.0169,-0.7842,0.7136,0.0000,0.0000,0.0009
65,,1.0134,1.0322,1.0174,-0.4848,0.9743,0.0000,0.0000,0.0009
66,,1.0139,1.0287,1.0179,-0.4152,1.0726,0.0000,0.0000,0.0009
67,,1.0147,1.0251,1.0185,-0.3350,0.5900,0.0000,0.0000,0.0009
68,,1.0156,1.0281,1.0190,-0.2430,0.5028,0.0000,0.0000,0.0009
69,,1.0164,1.0245,1.0195,-0.2242,0.4868,0.0000,0.0000,0.0009
70,,1.0183,1.0257,1.0201,-0.3117,0.5011,0.0000,0.0000,0.0009
71,,1.0171,1.0264,1.0206,-0.2003,0.3002,0.0000,0.0000,0.0009
72,,1.0201,1.0247,1.0212,-0.1884,0.3356,0.0000,0.0000,0.0009
73,,1.0198,1.0267,1.0217,-0.1278,0.3160,0.0000,0.0000,0.0009
74,,1.0200,1.0240,1.0222,-0.1060,0.2444,0.0000,0.0000,0.0009
75,,1.0211,1.0253,1.0228,-0.0923,0.2494,0.0000,0.0000,0.0009
76,,1.0214,1.0255,1.0233,-0.0280,0.2495,0.0000,0.0000,0.0009
77,,1.0222,1.0261,1.0238,-0.0498,0.2440,0.0000,0.0000,0.0009
78,,1.0229,1.0266,1.0244,0.0000,0.1820,0.0000,0.0000,0.0009
79,,1.0233,1.0272,1.0249,-0.0134,0.1834,0.0000,0.0000,0.0009
80,,1.0246,1.0278,1.0254,0.0000,0.1602,0.0000,0.0000,0.0009
81,,1.0250,1.0278,1.0260,0.0000,0.1815,0.0000,0.0000,0.0009
82,,1.0257,1.0287,1.0265,0.0000,0.1445,0.0000,0.0000,0.0009
83,,1.0263,1.0291,1.0271,0.0000,0.1433,0.0000,0.0000,0.0009
84,,1.0269,1.0299,1.0276,0.0000,0.1409,0.0000,0.0000,0.0009
85,,1.0272,1.0303,1.0281,0.0000,0.1387,0.0000,0.0000,0.0009
86,,1.0280,1.0305,1.0287,0.0000,0.1347,0.0000,0.0000,0.0009
87,,1.0284,1.0311,1.0292,0.0000,0.1321,0.0000,0.0000,0.0009
88,,1.0291,1.0313,1.0297,0.0000,0.1250,0.0000,0.0000,0.0009
89,,1.0298,1.0317,1.0303,0.0000,0.1191,0.0000,0.0000,0.0009
90,,1.0303,1.0323,1.0308,0.0000,0.1138,0.0000,0.0000,0.0009
91,,1.0309,1.0327,1.0313,0.0000,0.1149,0.0000,0.0000,0.0009
92,,1.0314,1.0332,1.0319,0.0000,0.1124,0.0000,0.0000,0.0009
93,,1.0319,1.0336,1.0324,0.0000,0.1102,0.0000,0.0000,0.0009
94,,1.0325,1.0341,1.0330,0.0000,0.1152,0.0000,0.0000,0.0009
95,,1.0331,1.0346,1.0335,0.0000,0.1094,0.0000,0.0000,0.0009
96,,1.0335,1.0350,1.0340,0.0000,0.1063,0.0000,0.0000,0.0009
97,,1.0342,1.0356,1.0346,0.0000,0.1043,0.0000,0.0000,0.0009
98,,1.0347,1.0361,1.0351,0.0000,0.1049,0.0000,0.0000,0.0009
99,,1.0353,1.0366,1.0356,0.0000,0.1069,0.0000,0.0000,0.0009
100,,1.0358,1.0371,1.0362,0.0000,0.1044,0.0000,0.0000,0.0009
101,,1.0363,1.0376,1.0367,0.0000,0.1031,0.0000,0.0000,0.0009
102,,1.0368,1.0382,1.0373,0.0000,0.1021,0.0000,0.0000,0.0009
103,,1.0374,1.0387,1.0378,0.0000,0.1013,0.0000,0.0000,0.0009
104,,1.0379,1.0392,1.0383,0.0000,0.1012,0.0000,0.0000,0.0009
105,,1.0385,1.0397,1.0389,0.0000,0.1009,0.0000,0.0000,0.0009
106,,1.0390,1.0402,1.0394,0.0000,0.1005,0.0000,0.0000,0.0009
107,,1.0395,1.0407,1.0399,0.0000,0.0988,0.0000,0.0000,0.0009
108,,1.0401,1.0412,1.0405,0.0000,0.0995,0.0000,0.0000,0.0009
109,,1.0406,1.0418,1.0410,0.0000,0.0997,0.0000,0.0000,0.0009
110,,1.0412,1.0423,1.0415,0.0000,0.0983,0.0000,0.0000,0.0009
111,,1.0417,1.0428,1.0421,0.0000,0.0978,0.0000,0.0000,0.0009
112,,1.0423,1.0433,1.0426,0.0000,0.0979,0.0000,0.0000,0.0009
113,,1.0428,1.0438,1.0432,0.0000,0.0980,0.0000,0.0000,0.0009
114,,1.0434,1.0443,1.0437,0.0000,0.0977,0.0000,0.0000,0.0009
115,,1.0439,1.0449,1.0442,0.0000,0.0983,0.0000,0.0000,0.0009
116,,1.0444,1.0454,1.0448,0.0000,0.0974,0.0000,0.0000,0.0009
117,,1.0450,1.0459,1.0453,0.0000,0.0976,0.0000,0.0000,0.0009
118,,1.0455,1.0464,1.0458,0.0000,0.0972,0.0000,0.0000,0.0009
119,,1.0460,1.0470,1.0464,0.0000,0.0974,0.0000,0.0000,0.0009
120,ignite wood wall at x=60,1.0240,1.0475,1.0469,0.0000,0.0972,0.9121,0.0608,0.0009
121,,1.0189,1.0480,1.0474,0.0000,0.0970,1.0000,0.1258,0.0009
122,,1.0153,1.0485,1.0479,0.0000,0.0971,1.0000,0.1931,0.0009
123,,1.0145,1.0491,1.0484,0.0000,0.0969,1.0000,0.2559,0.0009
124,,1.0139,1.0496,1.0489,0.0000,0.0970,1.0000,0.3149,0.0009
125,,1.0135,1.0501,1.0494,0.0000,0.0969,1.0000,0.3707,0.0009
126,,1.0132,1.0506,1.0500,0.0000,0.0969,1.0000,0.4236,0.0009
127,,1.0130,1.0512,1.0505,0.0000,0.0969,1.0000,0.4741,0.0009
128,,1.0128,1.0517,1.0510,0.0000,0.0968,1.0000,0.5223,0.0009
129,,1.0127,1.0522,1.0515,0.0000,0.0968,1.0000,0.5735,0.0009
130,,1.0126,1.0528,1.0520,0.0000,0.0967,1.0000,0.6243,0.0009
131,,1.0125,1.0533,1.0525,0.0000,0.0967,1.0000,0.6734,0.0009
132,,1.0124,1.0538,1.0530,0.0000,0.0968,1.0000,0.7209,0.0009
133,,1.0124,1.0543,1.0535,0.0000,0.0968,1.0000,0.7669,0.0009
134,,1.0123,1.0549,1.0540,0.0000,0.0968,1.0000,0.8116,0.0009
135,,1.0122,1.0554,1.0544,0.0000,0.0967,1.0000,0.8549,0.0009
136,,1.0122,1.0559,1.0549,0.0000,0.0967,1.0000,0.8970,0.0009
137,,1.0121,1.0565,1.0554,0.0000,0.0967,1.0000,0.9378,0.0009
138,,1.0120,1.0570,1.0559,0.0000,0.0967,1.0000,0.9776,0.0009
139,,1.0119,1.0575,1.0564,0.0000,0.0967,1.0000,1.0000,0.0009
140,,1.0118,1.0581,1.0569,0.0000,0.0967,1.0000,1.0000,0.0009
141,,1.0117,1.0586,1.0573,0.0000,0.0966,1.0000,1.0000,0.0009
142,,1.0116,1.0591,1.0578,0.0000,0.0966,1.0000,1.0000,0.0009
143,,1.0112,1.0597,1.0583,0.0000,0.0966,1.0000,1.0000,0.0009
144,,1.0107,1.0602,1.0588,0.0000,0.0966,1.0000,1.0000,0.0009
145,,1.0103,1.0607,1.0592,0.0000,0.0966,1.0000,1.0000,0.0009
146,,1.0099,1.0613,1.0597,0.0000,0.0966,1.0000,1.0000,0.0009
147,,1.0095,1.0618,1.0601,0.0000,0.0966,1.0000,1.0000,0.0009
