tick,event,atm_min,atm_max,atm_mean,wave_p_min,wave_p_max,fire_max,smoke_max,wave_source_max
315,,1.7621,1.9045,1.8841,0.0000,1.3324,1.0000,1.0000,0.0009
316,,1.7690,1.9119,1.8912,0.0000,1.3324,1.0000,1.0000,0.0009
317,,1.7759,1.9192,1.8984,0.0000,1.3324,1.0000,1.0000,0.0009
318,,1.7828,1.9265,1.9056,0.0000,1.3324,1.0000,1.0000,0.0009
319,,1.7898,1.9338,1.9127,0.0000,1.3324,1.0000,1.0000,0.0009
320,,1.7967,1.9412,1.9199,0.0000,1.3324,1.0000,1.0000,0.0009
321,,1.8036,1.9485,1.9271,0.0000,1.3324,1.0000,1.0000,0.0009
322,,1.8105,1.9558,1.9342,0.0000,1.3324,1.0000,1.0000,0.0009
323,,1.8175,1.9631,1.9414,0.0000,1.3324,1.0000,1.0000,0.0009
324,,1.8244,1.9704,1.9486,0.0000,1.3324,1.0000,1.0000,0.0009
325,,1.8314,1.9778,1.9557,0.0000,1.3324,1.0000,1.0000,0.0009
326,,1.8383,1.9851,1.9629,0.0000,1.3324,1.0000,1.0000,0.0009
327,,1.8452,1.9924,1.9701,0.0000,1.3324,1.0000,1.0000,0.0009
328,,1.8522,1.9997,1.9772,0.0000,1.3324,1.0000,1.0000,0.0009
329,,1.8591,2.0070,1.9844,0.0000,1.3324,1.0000,1.0000,0.0009
330,,1.8661,2.0143,1.9916,0.0000,1.3324,1.0000,1.0000,0.0009
331,,1.8730,2.0216,1.9987,0.0000,1.3324,1.0000,1.0000,0.0009
332,,1.8800,2.0289,2.0059,0.0000,1.3324,1.0000,1.0000,0.0009
333,,1.8870,2.0363,2.0131,0.0000,1.3324,1.0000,1.0000,0.0009
334,,1.8939,2.0436,2.0202,0.0000,1.3324,1.0000,1.0000,0.0009
335,,1.9009,2.0509,2.0274,0.0000,1.3324,1.0000,1.0000,0.0009
336,,1.9079,2.0582,2.0346,0.0000,1.3324,1.0000,1.0000,0.0009
337,,1.9148,2.0655,2.0417,0.0000,1.3324,1.0000,1.0000,0.0009
338,,1.9218,2.0728,2.0489,0.0000,1.3324,1.0000,1.0000,0.0009
339,,1.9288,2.0801,2.0561,0.0000,1.3324,1.0000,1.0000,0.0009
340,,1.9358,2.0874,2.0632,0.0000,1.3324,1.0000,1.0000,0.0009
341,,1.9427,2.0947,2.0704,0.0000,1.3324,1.0000,1.0000,0.0009
342,,1.9497,2.1020,2.0776,0.0000,1.3324,1.0000,1.0000,0.0009
343,,1.9567,2.1093,2.0847,0.0000,1.3324,1.0000,1.0000,0.0009
344,,1.9637,2.1166,2.0919,0.0000,1.3324,1.0000,1.0000,0.0009
345,,1.9707,2.1239,2.0991,0.0000,1.3324,1.0000,1.0000,0.0009
346,,1.9777,2.1311,2.1062,0.0000,1.3324,1.0000,1.0000,0.0009
347,,1.9847,2.1384,2.1134,0.0000,1.3324,1.0000,1.0000,0.0009
348,,1.9917,2.1457,2.1205,0.0000,1.3324,1.0000,1.0000,0.0009
349,,1.9987,2.1530,2.1277,0.0000,1.3324,1.0000,1.0000,0.0009
350,,2.0057,2.1603,2.1349,0.0000,1.3324,1.0000,1.0000,0.0009
351,,2.0127,2.1676,2.1420,0.0000,1.3324,1.0000,1.0000,0.0009
352,,2.0197,2.1749,2.1492,0.0000,1.3324,1.0000,1.0000,0.0009
353,,2.0267,2.1822,2.1564,0.0000,1.3324,1.0000,1.0000,0.0009
354,,2.0337,2.1895,2.1635,0.0000,1.3324,1.0000,1.0000,0.0009
355,,2.0407,2.1968,2.1707,0.0000,1.3324,1.0000,1.0000,0.0009
356,,2.0477,2.2040,2.1779,0.0000,1.3324,1.0000,1.0000,0.0009
357,,2.0547,2.2113,2.1850,0.0000,1.3324,1.0000,1.0000,0.0009
358,,2.0617,2.2186,2.1922,0.0000,1.3324,1.0000,1.0000,0.0009
359,,2.0687,2.2259,2.1994,0.0000,1.3324,1.0000,1.0000,0.0009
360,,2.0757,2.2332,2.2065,0.0000,1.3324,1.0000,1.0000,0.0009
361,,2.0828,2.2404,2.2137,0.0000,1.3324,1.0000,1.0000,0.0009
362,,2.0898,2.2477,2.2209,0.0000,1.3324,1.0000,1.0000,0.0009
363,,2.0968,2.2550,2.2280,0.0000,1.3324,1.0000,1.0000,0.0009
364,,2.1038,2.2623,2.2352,0.0000,1.3324,1.0000,1.0000,0.0009
365,,2.1109,2.2695,2.2424,0.0000,1.3324,1.0000,1.0000,0.0009
366,,2.1179,2.2768,2.2495,0.0000,1.3324,1.0000,1.0000,0.0009
367,,2.1249,2.2841,2.2567,0.0000,1.3324,1.0000,1.0000,0.0009
368,,2.1320,2.2914,2.2639,0.0000,1.3324,1.0000,1.0000,0.0009
369,,2.1390,2.2986,2.2710,0.0000,1.3324,1.0000,1.0000,0.0009
370,,2.1460,2.3059,2.2782,0.0000,1.3324,1.0000,1.0000,0.0009
371,,2.1531,2.3132,2.2854,0.0000,1.3324,1.0000,1.0000,0.0009
372,,2.1601,2.3204,2.2925,0.0000,1.3324,1.0000,1.0000,0.0009
373,,2.1671,2.3277,2.2997,0.0000,1.3324,1.0000,1.0000,0.0009
374,,2.1742,2.3350,2.3069,0.0000,1.3324,1.0000,1.0000,0.0009
375,,2.1812,2.3422,2.3140,0.0000,1.3324,1.0000,1.0000,0.0009
376,,2.1883,2.3495,2.3212,0.0000,1.3324,1.0000,1.0000,0.0009
377,,2.1953,2.3568,2.3284,0.0000,1.3324,1.0000,1.0000,0.0009
378,,2.2023,2.3640,2.3355,0.0000,1.3324,1.0000,1.0000,0.0009
379,,2.2094,2.3713,2.3427,0.0000,1.3324,1.0000,1.0000,0.0009
380,,2.2164,2.3785,2.3499,0.0000,1.3324,1.0000,1.0000,0.0009
381,,2.2235,2.3858,2.3570,0.0000,1.3324,1.0000,1.0000,0.0009
382,,2.2305,2.3930,2.3642,0.0000,1.3324,1.0000,1.0000,0.0009
383,,2.2376,2.4003,2.3714,0.0000,1.3324,1.0000,1.0000,0.0009
384,,2.2447,2.4076,2.3785,0.0000,1.3324,1.0000,1.0000,0.0009
385,,2.2517,2.4148,2.3857,0.0000,1.3324,1.0000,1.0000,0.0009
386,,2.2588,2.4221,2.3929,0.0000,1.3324,1.0000,1.0000,0.0009
387,,2.2658,2.4293,2.4000,0.0000,1.3324,1.0000,1.0000,0.0009
388,,2.2729,2.4366,2.4072,0.0000,1.3324,1.0000,1.0000,0.0009
389,,2.2799,2.4438,2.4144,0.0000,1.3324,1.0000,1.0000,0.0009
390,,2.2870,2.4511,2.4215,0.0000,1.3324,1.0000,1.0000,0.0009
391,,2.2941,2.4583,2.4287,0.0000,1.3324,1.0000,1.0000,0.0009
392,,2.3011,2.4656,2.4359,0.0000,1.3324,1.0000,1.0000,0.0009
393,,2.3082,2.4728,2.4430,0.0000,1.3324,1.0000,1.0000,0.0009
394,,2.3153,2.4801,2.4502,0.0000,1.3324,1.0000,1.0000,0.0009
395,,2.3223,2.4873,2.4574,0.0000,1.3324,1.0000,1.0000,0.0009
396,,2.3294,2.4946,2.4645,0.0000,1.3324,1.0000,1.0000,0.0009
397,,2.3365,2.5018,2.4717,0.0000,1.3324,1.0000,1.0000,0.0009
398,,2.3435,2.5091,2.4789,0.0000,1.3324,1.0000,1.0000,0.0009
399,,2.3506,2.5163,2.4860,0.0000,1.3324,1.0000,1.0000,0.0009
